,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,neutral
0,1949-50,1949-12-08,,Western Kentucky,,,Bowling Green State,,W,,78,57,21,,,True
1,1949-50,1949-12-08,,Wyoming,,,Colorado State,,W,,49,42,7,,,True
2,1949-50,1949-12-09,,Brigham Young,,,Wyoming,,W,,57,54,3,,,True
3,1949-50,1949-12-10,,Davidson,,,Virginia Tech,,W,,60,56,4,,,True
4,1949-50,1949-12-10,,Louisiana State,,,Rice,,W,,49,44,5,,,True
5,1949-50,1949-12-10,,Utah,,,Wyoming,,W,,63,55,8,,,True
6,1949-50,1949-12-17,,DePaul,,,Loyola (IL),,W,,59,53,6,,,True
7,1949-50,1949-12-17,,Northwestern,,,Notre Dame,,W,,66,56,10,,,True
8,1949-50,1949-12-17,,La Salle,,,Temple,,W,,60,55,5,,,True
9,1949-50,1949-12-19,,Vanderbilt,,,Temple,,W,,49,45,4,,,True
10,1949-50,1949-12-27,,Arkansas,,,Alabama,,W,,41,33,8,,,True
11,1949-50,1949-12-27,,Kansas State,,,Kansas,,W,,58,48,10,,,True
12,1949-50,1949-12-27,,Missouri,,,Michigan,,W,,47,46,1,,,True
13,1949-50,1949-12-27,,Oklahoma,,,Iowa State,,W,,66,57,9,,,True
14,1949-50,1949-12-27,,Wyoming,,,Texas,,W,,44,35,9,,,True
15,1949-50,1949-12-27,,Oklahoma State,,,Vanderbilt,,W,,62,61,1,,,True
16,1949-50,1949-12-28,,Texas,,,Alabama,,W,,48,41,7,,,True
17,1949-50,1949-12-28,,Wyoming,,,Arkansas,,W,,40,26,14,,,True
18,1949-50,1949-12-28,,Ohio State,,,Cornell,,W,,43,42,1,,,True
19,1949-50,1949-12-28,,Colorado,,,Nebraska,,W,,67,57,10,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,1949-50,1949-12-28,,NC State,,,Rhode Island,,W,,81,64,17,,,True
22,1949-50,1949-12-28,,Wisconsin,,,Rutgers,,W,,68,55,13,,,True
23,1949-50,1949-12-28,,Baylor,,,Vanderbilt,,W,,61,53,8,,,True
24,1949-50,1949-12-28,,Georgia Tech,,,Wake Forest,,W,,64,57,7,,,True
25,1949-50,1949-12-28,,West Virginia,,,North Carolina,,W,,58,50,8,,,True
26,1949-50,1949-12-29,,Oklahoma State,,,Arkansas,,W,,57,33,24,,,True
27,1949-50,1949-12-29,,Ohio State,,,Harvard,,W,,59,48,11,,,True
28,1949-50,1949-12-29,,Kansas,,,Iowa State,,W,,64,43,21,,,True
29,1949-50,1949-12-29,,Michigan,,,Nebraska,,W,,67,65,2,,,True
30,1949-50,1949-12-29,,Missouri,,,Colorado,,W,,62,51,11,,,True
31,1949-50,1949-12-29,,North Carolina,,,Duke,,W,,59,52,7,,,True
32,1949-50,1949-12-29,,Indiana,,,Notre Dame,,W,,79,69,10,,,True
33,1949-50,1949-12-29,,Drake,,,Pittsburgh,,W,,67,55,12,,,True
34,1949-50,1949-12-29,,Rhode Island,,,Wake Forest,,W,,61,57,4,,,True
35,1949-50,1949-12-29,,Minnesota,,,Stanford,,W,,67,65,2,,,True
36,1949-50,1949-12-29,,Tennessee,,,Utah State,,W,,66,62,4,,,True
37,1949-50,1949-12-29,,Texas,,,Baylor,,W,,49,41,8,,,True
38,1949-50,1949-12-29,,California,,,Texas A&M,,W,,59,47,12,,,True
39,1949-50,1949-12-29,,Vanderbilt,,,Alabama,,W,,53,44,9,,,True
40,1949-50,1949-12-29,,Kentucky,,,Villanova,,W,,57,56,1,,1,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
42,1949-50,1949-12-29,,Penn State,,,West Virginia,,W,,46,41,5,,,True
43,1949-50,1949-12-30,,Kentucky,,,Bradley,,W,,71,66,5,,,True
44,1949-50,1949-12-30,,Kansas State,,,Colorado,,W,,59,46,13,,,True
45,1949-50,1949-12-30,,Michigan,,,Kansas,,W,,49,47,2,,,True
46,1949-50,1949-12-30,,Minnesota,,,California,,W,,47,45,2,,,True
47,1949-50,1949-12-30,,Nebraska,,,Iowa State,,W,,85,67,18,,,True
48,1949-50,1949-12-30,,NC State,,,Penn State,,W,,50,40,10,,,True
49,1949-50,1949-12-30,,Utah State,,,Pittsburgh,,W,,54,50,4,,,True
50,1949-50,1949-12-30,,Notre Dame,,,Purdue,,W,,59,41,18,,,True
51,1949-50,1949-12-30,,Rhode Island,,,North Carolina,,W,,65,60,5,,,True
52,1949-50,1949-12-30,,Saint Louis,,,Baylor,,W,,58,50,8,,,True
53,1949-50,1949-12-30,,Stanford,,,Texas A&M,,W,,55,49,6,,,True
54,1949-50,1949-12-30,,Duke,,,Wake Forest,,W,,54,52,2,,,True
55,1949-50,1949-12-30,,Georgia Tech,,,West Virginia,,W,,63,48,15,,,True
56,1949-50,1949-12-31,,Saint Louis,,,Navy,,W,,54,46,8,,,True
57,1949-50,1949-12-31,,San Francisco,,,Niagara,,W,,52,48,4,,,True
58,1949-50,1949-12-31,,Toledo,,,Brigham Young,,W,,66,51,15,,,True
59,1949-50,1950-01-02,,Temple,,,Saint Joseph's,,W,,61,53,8,,,True
60,1949-50,1950-01-03,,City College of New York,,,St. John's (NY),,W,,54,52,2,,,True
61,1949-50,1950-01-10,,NC State,9,,Davidson,,W,,44,35,9,,,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
63,1949-50,1950-01-19,,Canisius,,,Niagara,,W,,49,47,2,,,True
64,1949-50,1950-01-21,,La Salle,10,,Saint Joseph's,,W,,74,53,21,,,True
65,1949-50,1950-01-28,,Notre Dame,,,Northwestern,,W,,64,57,7,,,True
66,1949-50,1950-01-28,,La Salle,7,,Temple,,W,,67,51,16,,,True
67,1949-50,1950-01-31,,St. John's (NY),5,,Manhattan,,W,,82,52,30,,,True
68,1949-50,1950-02-02,,Canisius,,,St. Bonaventure,,W,,49,42,7,,,True
69,1949-50,1950-02-04,,La Salle,8,,Saint Joseph's,,W,,79,59,20,,,True
70,1949-50,1950-02-07,,Notre Dame,,,Loyola (IL),,W,,56,41,15,,,True
71,1949-50,1950-02-08,,City College of New York,14,,St. Francis (NY),,W,,68,46,22,,,True
72,1949-50,1950-02-08,,San Francisco,15,,Xavier,,W,,57,47,10,,,True
73,1949-50,1950-02-09,,Manhattan,,,New York University,,W,,80,55,25,,,True
74,1949-50,1950-02-11,,Wisconsin,,,Northwestern,,W,,66,59,7,,,True
75,1949-50,1950-02-17,,Fordham,,,St. John's (NY),4,W,,70,64,6,,,True
76,1949-50,1950-02-18,,DePaul,,,Notre Dame,,W,,68,58,10,,,True
77,1949-50,1950-02-21,,Holy Cross,2,,Boston College,,W,,71,63,8,,,True
78,1949-50,1950-02-21,,St. John's (NY),6,,New York University,,W,,66,60,6,,,True
79,1949-50,1950-02-22,,Toledo,14,,Bowling Green State,,W,,58,55,3,,,True
80,1949-50,1950-02-24,,Western Kentucky,8,,Tennessee Tech,,W,,79,60,19,,,True
81,1949-50,1950-02-25,,Loyola (IL),,,DePaul,,W,,61,47,14,,,True
82,1949-50,1950-02-25,,Manhattan,,,Fordham,,W,,56,55,1,,,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
84,1949-50,1950-02-25,,Western Kentucky,8,,Murray State,,W,,58,54,4,,,True
85,1949-50,1950-02-25,,St. Bonaventure,,,Canisius,,W,,53,51,2,,,True
86,1949-50,1950-02-25,,Temple,,,Saint Joseph's,,W,,90,74,16,,,True
87,1949-50,1950-02-28,,John Carroll,,,Baldwin-Wallace,,W,,68,54,14,,,True
88,1949-50,1950-03-02,,City College of New York,,,Manhattan,,W,,57,55,2,,,True
89,1949-50,1950-03-02,,Louisiana State,,,Florida,,W,,66,57,9,,,True
90,1949-50,1950-03-02,,Wake Forest,,,George Washington,,W,,65,61,4,,,True
91,1949-50,1950-03-02,,Georgia,,,Mississippi,,W,,59,58,1,,,True
92,1949-50,1950-03-02,,Tennessee,,,Georgia Tech,,W,,63,56,7,,,True
93,1949-50,1950-03-02,,Mississippi State,,,Tulane,,W,,56,47,9,,,True
94,1949-50,1950-03-02,,NC State,8,,Virginia Tech,,W,,67,42,25,,,True
95,1949-50,1950-03-02,,William & Mary,,,North Carolina,,W,,50,43,7,,,True
96,1949-50,1950-03-02,,Dayton,,,Xavier,,W,,59,51,8,,,True
97,1949-50,1950-03-03,,Louisiana State,,,Auburn,,W,,73,45,28,,,True
98,1949-50,1950-03-03,,Georgia,,,Alabama,,W,,52,51,1,,1,True
99,1949-50,1950-03-03,,Kentucky,4,,Mississippi State,,W,,56,46,10,,,True
100,1949-50,1950-03-03,,Loyola (IL),,,Dayton,,W,,60,56,4,,,True
101,1949-50,1950-03-03,,Tennessee,,,Vanderbilt,20,W,,50,44,6,,,True
102,1949-50,1950-03-03,,NC State,8,,Wake Forest,,W,,59,53,6,,,True
103,1949-50,1950-03-04,,Kentucky,4,,Georgia,,W,,79,63,16,,,True
0,1949-50,1950-03-04,,Kentucky,4.0,,Tennessee,,W,,95,58,37,,,True
1,1949-50,1950-03-04,,Fordham,,,New York University,,W,,74,52,22,,,True
2,1949-50,1950-03-04,,Niagara,,,Canisius,,W,,51,42,9,,,True
3,1949-50,1950-03-04,,Tennessee,,,Louisiana State,,W,,81,79,2,,1.0,True
4,1949-50,1950-03-07,,City College of New York,,,New York University,,W,,64,61,3,,,True
5,1949-50,1950-03-11,,La Salle,10.0,,Arizona,15.0,W,,72,66,6,,,True
6,1949-50,1950-03-11,,Syracuse,,,Long Island University,13.0,W,,80,52,28,,,True
7,1949-50,1950-03-11,,Western Kentucky,8.0,,Niagara,,W,,79,72,7,,,True
8,1949-50,1950-03-13,,Bradley,1.0,,Syracuse,,W,,78,66,12,,,True
9,1949-50,1950-03-14,,Duquesne,6.0,,La Salle,10.0,W,,49,47,2,,,True
10,1949-50,1950-03-23,,City College of New York,,,Ohio State,2.0,W,,56,55,1,,,True
11,1949-50,1950-03-24,,Baylor,,,Brigham Young,,W,,56,55,1,,,True
12,1949-50,1950-03-24,,Bradley,1.0,,UCLA,7.0,W,,73,59,14,,,True
13,1949-50,1950-03-24,,NC State,5.0,,Holy Cross,4.0,W,,87,74,13,,,True
14,1949-50,1950-03-25,,Bradley,1.0,,Baylor,,W,,68,66,2,,,True
15,1949-50,1950-03-25,,Brigham Young,,,UCLA,7.0,W,,83,62,21,,,True
16,1949-50,1950-03-25,,City College of New York,,,NC State,5.0,W,,78,73,5,,,True
17,1949-50,1950-03-25,,Ohio State,2.0,,Holy Cross,4.0,W,,72,52,20,,,True
18,1949-50,1950-03-28,,NC State,5.0,,Baylor,,W,,53,41,12,,,True
19,1949-50,1950-03-28,,City College of New York,,,Bradley,1.0,W,,71,68,3,,,True
0,1949-50,1949-12-08,,Western Kentucky,,,Bowling Green State,,W,,78,57,21,,,True
1,1949-50,1949-12-08,,Wyoming,,,Colorado State,,W,,49,42,7,,,True
