,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,neutral
0,0,20,96,1989-90,1989-11-18,,Nevada-Las Vegas,1.0,,DePaul,,W,,88,53,35,,,True
1,1,21,97,1989-90,1989-11-22,,Kansas,,,Nevada-Las Vegas,1.0,W,,91,77,14,,,True
2,2,22,98,1989-90,1989-11-23,,George Mason,,,East Carolina,,W,,66,62,4,,,True
3,3,23,99,1989-90,1989-11-23,,Maryland,,,East Tennessee State,,W,,91,86,5,,,True
4,4,24,100,1989-90,1989-11-24,,Florida A&M,,,Bethune-Cookman,,W,,94,81,13,,,True
5,5,25,101,1989-90,1989-11-24,,Bowling Green State,,,Jacksonville,,W,,87,75,12,,,True
6,6,26,102,1989-90,1989-11-24,,Kansas State,,,Florida State,,W,,71,70,1,,,True
7,7,27,103,1989-90,1989-11-24,,Louisiana,,,Mississippi,,W,,94,83,11,,,True
8,8,28,0,1989-90,1989-11-24,,Mississippi State,,,Louisiana-Monroe,,W,,75,68,7,,,True
9,9,29,1,1989-90,1989-11-24,,Marshall,,,Army,,W,,81,74,7,,,True
10,10,30,2,1989-90,1989-11-24,,Michigan State,,,Auburn,,W,,92,79,13,,,True
11,11,31,3,1989-90,1989-11-24,,Missouri,11.0,,Evansville,,W,,68,53,15,,,True
12,12,32,4,1989-90,1989-11-24,,La Salle,,,Missouri State,,W,,62,58,4,,,True
13,13,33,5,1989-90,1989-11-24,,North Carolina,7.0,,James Madison,,W,,80,79,1,,,True
14,14,34,6,1989-90,1989-11-24,,Northern Arizona,,,Charleston Southern,,W,,65,64,1,,,True
15,15,35,7,1989-90,1989-11-24,,Stetson,,,Bradley,,W,,74,67,7,,,True
16,16,36,8,1989-90,1989-11-24,,Tennessee,,,Austin Peay,,W,,71,69,2,,,True
17,17,37,9,1989-90,1989-11-24,,Texas A&M,,,Connecticut,,W,,92,81,11,,,True
18,18,38,10,1989-90,1989-11-24,,Villanova,,,San Diego State,,W,,66,58,8,,,True
19,19,39,11,1989-90,1989-11-24,,Alabama,,,Western Kentucky,,W,,79,72,7,,,True
20,20,40,12,1989-90,1989-11-24,,Monmouth,,,Western Michigan,,W,,76,72,4,,,True
21,21,41,13,1989-90,1989-11-24,,Eastern Michigan,,,Wisconsin,,W,,71,52,19,,,True
22,22,42,14,1989-90,1989-11-25,,Connecticut,,,Auburn,,W,,95,91,4,,,True
23,23,43,15,1989-90,1989-11-25,,Alabama,,,Eastern Michigan,,W,,64,61,3,,,True
24,24,44,16,1989-90,1989-11-25,,Kansas State,,,Hawaii,,W,,79,76,3,,,True
25,25,45,17,1989-90,1989-11-25,,Baylor,,,Louisiana-Monroe,,W,,69,68,1,,,True
26,26,46,18,1989-90,1989-11-25,,Arizona,6.0,,Michigan,4.0,W,,82,75,7,,,True
27,27,47,19,1989-90,1989-11-25,,Missouri,11.0,,Louisville,12.0,W,,82,79,3,,,True
28,28,49,21,1989-90,1989-11-25,,Missouri State,,,Saint Mary's (CA),,W,,52,35,17,,,True
29,29,50,22,1989-90,1989-11-25,,Jacksonville,,,New Hampshire,,W,,57,49,8,,,True
30,30,51,23,1989-90,1989-11-25,,Army,,,Northeastern,,W,,66,65,1,,,True
31,31,52,24,1989-90,1989-11-25,,James Madison,,,San Diego State,,W,,56,53,3,,,True
32,32,53,25,1989-90,1989-11-25,,Clemson,,,Stetson,,W,,74,61,13,,,True
33,33,54,26,1989-90,1989-11-25,,Austin Peay,,,Tennessee State,,W,,83,79,4,,,True
34,34,55,27,1989-90,1989-11-25,,Michigan State,,,Texas A&M,,W,,87,75,12,,,True
35,35,56,28,1989-90,1989-11-25,,North Carolina,7.0,,Villanova,,W,,78,68,10,,,True
36,36,57,29,1989-90,1989-11-25,,Wisconsin,,,Western Kentucky,,W,,73,62,11,,,True
37,37,58,30,1989-90,1989-11-25,,Western Michigan,,,Hardin-Simmons,,W,,64,54,10,,,True
38,38,59,31,1989-90,1989-11-26,,Alabama,,,Clemson,,W,,57,48,9,,,True
39,39,60,32,1989-90,1989-11-26,,Connecticut,,,Florida State,,W,,63,60,3,,,True
40,40,61,33,1989-90,1989-11-26,,James Madison,,,Evansville,,W,,70,60,10,,,True
41,41,62,34,1989-90,1989-11-26,,Missouri,11.0,,North Carolina,7.0,W,,80,73,7,,,True
42,42,63,35,1989-90,1989-11-26,,Eastern Michigan,,,Stetson,,W,,88,83,5,,,True
43,43,64,36,1989-90,1989-11-26,,Hawaii,,,Texas A&M,,W,,75,71,4,,,True
44,44,65,37,1989-90,1989-11-26,,Louisville,12.0,,Villanova,,W,,83,69,14,,,True
45,45,66,38,1989-90,1989-11-26,,Wisconsin,,,Bradley,,W,,63,57,6,,,True
46,46,67,39,1989-90,1989-11-27,,Michigan State,,,Kansas State,,W,,73,68,5,,,True
47,47,68,40,1989-90,1989-12-01,,Sam Houston State,,,U.S. International,,W,,112,94,18,,,True
48,48,70,42,1989-90,1989-12-01,,UC Santa Barbara,,,Bradley,,W,,86,60,26,,,True
49,49,71,43,1989-90,1989-12-01,,Chattanooga,,,Navy,,W,,86,81,5,,,True
50,50,72,44,1989-90,1989-12-01,,Colorado State,,,Eastern Kentucky,,W,,75,66,9,,,True
51,51,73,45,1989-90,1989-12-01,,Marist,,,Drexel,,W,,74,72,2,,,True
52,52,74,46,1989-90,1989-12-01,,Coppin State,,,Morehead State,,W,,79,70,9,,,True
53,53,75,47,1989-90,1989-12-01,,New Orleans,,,Nicholls State,,W,,63,44,19,,,True
54,54,76,48,1989-90,1989-12-01,,NC State,25.0,,Ohio State,,W,,68,54,14,,,True
55,55,77,49,1989-90,1989-12-01,,Pacific,,,George Mason,,W,,66,58,8,,,True
56,56,78,50,1989-90,1989-12-01,,Pepperdine,,,Air Force,,W,,82,75,7,,,True
57,57,79,51,1989-90,1989-12-01,,Pittsburgh,18.0,,Oklahoma State,23.0,W,,102,90,12,,,True
58,58,80,52,1989-90,1989-12-01,,South Carolina,,,Maryland,,W,,52,51,1,,,True
59,59,81,53,1989-90,1989-12-01,,Louisiana Tech,,,Southern Methodist,,W,,71,68,3,,,True
60,60,82,54,1989-90,1989-12-01,,Loyola Marymount,,,Stetson,,W,,125,95,30,,,True
61,61,83,55,1989-90,1989-12-01,,Temple,16.0,,Arkansas State,,W,,65,41,24,,,True
62,62,84,56,1989-90,1989-12-01,,Texas-Rio Grande Valley,,,Texas A&M,,W,,97,79,18,,,True
63,63,85,57,1989-90,1989-12-01,,Georgia,,,TCU,,W,,77,72,5,,,True
64,64,86,58,1989-90,1989-12-01,,Texas Tech,,,Portland,,W,,94,58,36,,,True
65,65,87,59,1989-90,1989-12-01,,Kent State,,,Wichita State,,W,,77,65,12,,,True
66,66,88,60,1989-90,1989-12-01,,Wisconsin,,,Gonzaga,,W,,63,58,5,,,True
67,67,89,61,1989-90,1989-12-02,,Mercer,,,U.S. International,,W,,55,53,2,,,True
68,68,91,63,1989-90,1989-12-02,,Brown,,,Drexel,,W,,73,68,5,,,True
69,69,92,64,1989-90,1989-12-02,,Air Force,,,Harvard,,W,,73,71,2,,,True
70,70,93,65,1989-90,1989-12-02,,Indiana,14.0,,Kentucky,,W,,71,69,2,,,True
71,71,94,66,1989-90,1989-12-02,,George Mason,,,Jackson State,,W,,92,87,5,,,True
72,72,95,67,1989-90,1989-12-02,,Maryland,,,Army,,W,,78,60,18,,,True
73,73,96,68,1989-90,1989-12-02,,Hardin-Simmons,,,Morehead State,,W,,71,69,2,,,True
74,74,97,69,1989-90,1989-12-02,,Bucknell,,,Navy,,W,,67,66,1,,,True
75,75,98,70,1989-90,1989-12-02,,Gonzaga,,,UNC Wilmington,,W,,55,48,7,,,True
76,76,99,71,1989-90,1989-12-02,,Louisville,13.0,,Notre Dame,19.0,W,,84,73,11,,,True
77,77,100,72,1989-90,1989-12-02,,Ohio,,,Bradley,,W,,72,53,19,,,True
78,78,101,73,1989-90,1989-12-02,,Oklahoma State,23.0,,Ohio State,,W,,81,59,22,,,True
79,79,102,74,1989-90,1989-12-02,,NC State,25.0,,Pittsburgh,18.0,W,,100,87,13,,,True
80,80,103,75,1989-90,1989-12-02,,Columbia,,,Portland,,W,,78,67,11,,,True
81,81,104,76,1989-90,1989-12-02,,Lehigh,,,Southern Methodist,,W,,69,49,20,,,True
82,82,105,77,1989-90,1989-12-02,,Stetson,,,Campbell,,W,,77,63,14,,,True
83,83,106,78,1989-90,1989-12-02,,Texas A&M,,,Idaho State,,W,,84,69,15,,,True
84,84,107,79,1989-90,1989-12-02,,TCU,,,Mississippi Valley State,,W,,90,75,15,,,True
85,85,108,80,1989-90,1989-12-02,,Arkansas State,,,Virginia Commonwealth,,W,,82,66,16,,,True
86,86,109,81,1989-90,1989-12-02,,James Madison,,,Virginia Military Institute,,W,,91,61,30,,,True
87,87,110,82,1989-90,1989-12-02,,Wagner,,,Nicholls State,,W,,70,63,7,,,True
88,88,112,84,1989-90,1989-12-02,,Old Dominion,,,West Virginia,,W,,73,69,4,,,True
89,89,113,85,1989-90,1989-12-02,,Wichita State,,,Colgate,,W,,101,87,14,,,True
90,90,114,86,1989-90,1989-12-02,,Wright State,,,South Alabama,,W,,96,82,14,,,True
91,91,115,87,1989-90,1989-12-03,,South Alabama,,,San Diego,,W,,77,72,5,,,True
92,92,116,88,1989-90,1989-12-04,,Georgia Tech,18.0,,Pittsburgh,22.0,W,,93,92,1,,,True
93,93,117,89,1989-90,1989-12-05,,NC State,19.0,,St. John's (NY),15.0,W,,67,58,9,,,True
