,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,playoff
0,1999-00,2000-03-16,,Arizona,4,,Jackson State,,W,,71,47,24,,,True
1,1999-00,2000-03-16,,Auburn,24,,Creighton,,W,,72,69,3,,,True
2,1999-00,2000-03-16,,UCLA,,,Ball State,,W,,65,57,8,,,True
3,1999-00,2000-03-16,,Iowa State,6,,Central Connecticut State,,W,,88,78,10,,,True
4,1999-00,2000-03-16,,Purdue,25,,Dayton,,W,,62,61,1,,,True
5,1999-00,2000-03-16,,Wisconsin,,,Fresno State,,W,,66,56,10,,,True
6,1999-00,2000-03-16,,Gonzaga,,,Louisville,,W,,77,66,11,,,True
7,1999-00,2000-03-16,,Texas,15,,Indiana State,,W,,77,61,16,,,True
8,1999-00,2000-03-16,,Maryland,17,,Iona,,W,,74,59,15,,,True
9,1999-00,2000-03-16,,Kentucky,19,,St. Bonaventure,,W,,85,80,5,,2,True
10,1999-00,2000-03-16,,Louisiana State,10,,Southeast Missouri State,,W,,64,61,3,,,True
11,1999-00,2000-03-16,,Michigan State,2,,Valparaiso,,W,,65,38,27,,,True
12,1999-00,2000-03-16,,St. John's (NY),9,,Northern Arizona,,W,,61,56,5,,,True
13,1999-00,2000-03-16,,Oklahoma,12,,Winthrop,,W,,74,50,24,,,True
14,1999-00,2000-03-16,,Utah,,,Saint Louis,,W,,48,45,3,,,True
15,1999-00,2000-03-16,,Syracuse,16,,Samford,,W,,79,65,14,,,True
16,1999-00,2000-03-17,,Ohio State,8,,Appalachian State,,W,,87,61,26,,,True
17,1999-00,2000-03-17,,Miami (FL),23,,Arkansas,,W,,75,71,4,,,True
18,1999-00,2000-03-17,,Florida,13,,Butler,,W,,69,68,1,,1,True
19,1999-00,2000-03-17,,Cincinnati,7,,UNC Wilmington,,W,,64,47,17,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,1999-00,2000-03-17,,Connecticut,20,,Utah State,,W,,75,67,8,,,True
22,1999-00,2000-03-17,,Kansas,,,DePaul,,W,,81,77,4,,1,True
23,1999-00,2000-03-17,,Duke,1,,Lamar,,W,,82,55,27,,,True
24,1999-00,2000-03-17,,Oklahoma State,14,,Hofstra,,W,,86,66,20,,,True
25,1999-00,2000-03-17,,Illinois,21,,Pennsylvania,,W,,68,58,10,,,True
26,1999-00,2000-03-17,,Pepperdine,,,Indiana,22,W,,77,57,20,,,True
27,1999-00,2000-03-17,,Temple,5,,Lafayette,,W,,73,47,26,,,True
28,1999-00,2000-03-17,,Tennessee,11,,Louisiana,,W,,63,58,5,,,True
29,1999-00,2000-03-17,,North Carolina,,,Missouri,,W,,84,70,14,,,True
30,1999-00,2000-03-17,,Tulsa,18,,Nevada-Las Vegas,,W,,89,62,27,,,True
31,1999-00,2000-03-17,,Seton Hall,,,Oregon,,W,,72,71,1,,1,True
32,1999-00,2000-03-17,,Stanford,3,,South Carolina State,,W,,84,65,19,,,True
33,1999-00,2000-03-18,,Wisconsin,,,Arizona,4,W,,66,59,7,,,True
34,1999-00,2000-03-18,,Iowa State,6,,Auburn,24,W,,79,60,19,,,True
35,1999-00,2000-03-18,,Gonzaga,,,St. John's (NY),9,W,,82,76,6,,,True
36,1999-00,2000-03-18,,Syracuse,16,,Kentucky,19,W,,52,50,2,,,True
37,1999-00,2000-03-18,,Louisiana State,10,,Texas,15,W,,72,67,5,,,True
