,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,neutral
0,2022-23,2022-11-07,,San Diego State,19,,Cal State Fullerton,,W,,80,57,23,,,False
1,2022-23,2022-11-07,,Baylor,5,,Mississippi Valley State,,W,,117,53,64,,,False
2,2022-23,2022-11-07,,Middle Tennessee,,,Brescia,,W,,79,52,27,,,False
3,2022-23,2022-11-07,,Prairie View,,,Kansas Christian,,W,,94,79,15,,,False
4,2022-23,2022-11-07,,Stanford,,,Pacific,,W,,88,78,10,,,False
5,2022-23,2022-11-07,,James Madison,,,Valley Forge,,W,,123,38,85,,,False
6,2022-23,2022-11-07,,UNC Greensboro,,,Johnson & Wales (NC),,W,,93,60,33,,,False
7,2022-23,2022-11-07,,Oakland,,,Defiance,,W,,92,27,65,,,False
8,2022-23,2022-11-07,,Oregon,21,,Florida A&M,,W,,80,45,35,,,False
9,2022-23,2022-11-07,,Appalachian State,,,Warren Wilson,,W,,142,74,68,,,False
10,2022-23,2022-11-07,,Butler,,,New Orleans,,W,,89,53,36,,,False
11,2022-23,2022-11-07,,Charlotte,,,Coppin State,,W,,82,59,23,,,False
12,2022-23,2022-11-07,,DePaul,,,Loyola (MD),,W,,72,66,6,,,False
13,2022-23,2022-11-07,,Kentucky,4,,Howard,,W,,95,63,32,,,False
14,2022-23,2022-11-07,,Massachusetts-Lowell,,,Fisher College,,W,,108,43,65,,,False
15,2022-23,2022-11-07,,Michigan,22,,Purdue-Fort Wayne,,W,,75,56,19,,,False
16,2022-23,2022-11-07,,Milwaukee,,,Milwaukee Engineering,,W,,102,46,56,,,False
17,2022-23,2022-11-07,,St. John's (NY),,,Merrimack,,W,,97,72,25,,,False
18,2022-23,2022-11-07,,Villanova,16,,La Salle,,W,,81,68,13,,,False
19,2022-23,2022-11-07,,Akron,,,South Dakota State,,W,,81,80,1,,1,False
21,2022-23,2022-11-07,,UAB,,,Alabama State,,W,,111,70,41,,,False
22,2022-23,2022-11-07,,Arizona State,,,Tarleton State,,W,,62,59,3,,,False
23,2022-23,2022-11-07,,Army,,,Keystone,,W,,110,65,45,,,False
24,2022-23,2022-11-07,,Ball State,,,Earlham,,W,,109,39,70,,,False
25,2022-23,2022-11-07,,Belmont,,,Ohio,,W,,70,69,1,,,False
26,2022-23,2022-11-07,,Binghamton,,,Cazenovia,,W,,87,56,31,,,False
27,2022-23,2022-11-07,,Boston University,,,Northeastern,,W,,72,63,9,,,False
28,2022-23,2022-11-07,,Bowling Green State,,,Air Force,,W,,62,58,4,,,False
29,2022-23,2022-11-07,,Bryant,,,Thomas (ME),,W,,147,39,108,,,False
30,2022-23,2022-11-07,,Bucknell,,,Lebanon Valley,,W,,113,52,61,,,False
31,2022-23,2022-11-07,,Buffalo,,,Colgate,,W,,88,87,1,,,False
32,2022-23,2022-11-07,,Canisius,,,Youngstown State,,L,,81,92,-11,,,False
33,2022-23,2022-11-07,,Charleston Southern,,,Toccoa Falls,,W,,83,52,31,,,False
34,2022-23,2022-11-07,,Cincinnati,,,Chaminade,,W,,98,55,43,,,False
35,2022-23,2022-11-07,,Clemson,,,The Citadel,,W,,80,69,11,,,False
36,2022-23,2022-11-07,,Cleveland State,,,Notre Dame (OH),,L,,68,72,-4,,,False
37,2022-23,2022-11-07,,Coastal Carolina,,,St. Mary's (MD),,W,,97,43,54,,,False
38,2022-23,2022-11-07,,College of Charleston,,,Chattanooga,,W,,85,78,7,,,False
39,2022-23,2022-11-07,,Connecticut,,,Stonehill,,W,,85,54,31,,,False
40,2022-23,2022-11-07,,Davidson,,,Guilford,,W,,87,64,23,,,False
42,2022-23,2022-11-07,,Dayton,24,,Lindenwood,,W,,73,46,27,,,False
43,2022-23,2022-11-07,,Delaware,,,Wilmington (DE),,W,,78,54,24,,,False
44,2022-23,2022-11-07,,Denver,,,Idaho,,W,,68,63,5,,,False
45,2022-23,2022-11-07,,Duke,7,,Jacksonville,,W,,71,44,27,,,False
46,2022-23,2022-11-07,,East Tennessee State,,,Emory & Henry,,W,,88,66,22,,,False
47,2022-23,2022-11-07,,Eastern Kentucky,,,Miami Middletown,,W,,137,52,85,,,False
48,2022-23,2022-11-07,,Eastern Michigan,,,Wayne State (MI),,W,,75,66,9,,,False
49,2022-23,2022-11-07,,Elon,,,Erskine,,W,,80,55,25,,,False
50,2022-23,2022-11-07,,Florida Atlantic,,,Lynn,,W,,81,46,35,,,False
51,2022-23,2022-11-07,,Florida International,,,Houston Christian,,W,,77,66,11,,,False
52,2022-23,2022-11-07,,Florida State,,,Stetson,,L,,74,83,-9,,,False
53,2022-23,2022-11-07,,Fordham,,,Dartmouth,,W,,88,74,14,,,False
54,2022-23,2022-11-07,,Furman,,,North Greenville,,W,,91,55,36,,,False
55,2022-23,2022-11-07,,George Washington,,,Virginia State,,W,,85,58,27,,,False
56,2022-23,2022-11-07,,Georgia,,,Western Carolina,,W,,68,55,13,,,False
57,2022-23,2022-11-07,,Georgia Tech,,,Clayton State,,W,,93,63,30,,,False
58,2022-23,2022-11-07,,Holy Cross,,,Siena,,L,,68,75,-7,,,False
59,2022-23,2022-11-07,,Indiana,13,,Morehead State,,W,,88,53,35,,,False
60,2022-23,2022-11-07,,Indiana State,,,Green Bay,,W,,80,53,27,,,False
61,2022-23,2022-11-07,,Iona,,,Pennsylvania,,W,,78,50,28,,,False
63,2022-23,2022-11-07,,Iowa,,,Bethune-Cookman,,W,,89,58,31,,,False
64,2022-23,2022-11-07,,Kennesaw State,,,LaGrange,,W,,99,56,43,,,False
65,2022-23,2022-11-07,,Liberty,,,Regent,,W,,104,38,66,,,False
66,2022-23,2022-11-07,,Maryland,,,Niagara,,W,,71,49,22,,,False
67,2022-23,2022-11-07,,Massachusetts,,,Central Connecticut State,,W,,94,67,27,,,False
68,2022-23,2022-11-07,,Miami (FL),,,Lafayette,,W,,67,54,13,,,False
69,2022-23,2022-11-07,,Michigan State,,,Northern Arizona,,W,,73,55,18,,,False
70,2022-23,2022-11-07,,Mississippi State,,,Texas A&M-Corpus Christi,,W,,63,44,19,,,False
71,2022-23,2022-11-07,,New Hampshire,,,Brandeis,,W,,79,47,32,,,False
72,2022-23,2022-11-07,,Norfolk State,,,Virginia-Lynchburg,,W,,109,59,50,,,False
73,2022-23,2022-11-07,,North Carolina A&T,,,Edward Waters,,W,,100,61,39,,,False
74,2022-23,2022-11-07,,Northern Kentucky,,,Kent State,,L,,57,79,-22,,,False
75,2022-23,2022-11-07,,Ohio State,,,Robert Morris,,W,,91,53,38,,,False
76,2022-23,2022-11-07,,Old Dominion,,,Maryland-Eastern Shore,,W,,84,65,19,,,False
77,2022-23,2022-11-07,,Penn State,,,Winthrop,,W,,93,68,25,,,False
78,2022-23,2022-11-07,,Pittsburgh,,,Tennessee-Martin,,W,,80,58,22,,,False
79,2022-23,2022-11-07,,Presbyterian,,,Carolina,,W,,76,42,34,,,False
80,2022-23,2022-11-07,,Princeton,,,Hofstra,,L,,77,83,-6,,,False
81,2022-23,2022-11-07,,Queens (NC),,,Marshall,,W,,83,82,1,,,False
82,2022-23,2022-11-07,,Rhode Island,,,Quinnipiac,,L,,62,67,-5,,,False
84,2022-23,2022-11-07,,Richmond,,,Virginia Military Institute,,W,,69,48,21,,,False
85,2022-23,2022-11-07,,Rutgers,,,Columbia,,W,,75,35,40,,,False
86,2022-23,2022-11-07,,Saint Peter's,,,NJIT,,W,,73,59,14,,,False
87,2022-23,2022-11-07,,South Carolina Upstate,,,Brevard,,W,,90,42,48,,,False
88,2022-23,2022-11-07,,St. Bonaventure,,,Saint Francis (PA),,W,,71,58,13,,,False
89,2022-23,2022-11-07,,St. Francis (NY),,,Mt. St. Mary (NY),,W,,94,56,38,,,False
90,2022-23,2022-11-07,,Temple,,,Wagner,,L,,73,76,-3,,1,False
91,2022-23,2022-11-07,,Tennessee,11,,Tennessee Tech,,W,,75,43,32,,,False
92,2022-23,2022-11-07,,Toledo,,,Valparaiso,,W,,85,70,15,,,False
93,2022-23,2022-11-07,,Towson,,,Albany (NY),,W,,67,62,5,,,False
94,2022-23,2022-11-07,,Troy,,,Montevallo,,W,,87,67,20,,,False
95,2022-23,2022-11-07,,Utah,,,Long Island University,,W,,89,48,41,,,False
96,2022-23,2022-11-07,,Vermont,,,Brown,,W,,80,65,15,,,False
97,2022-23,2022-11-07,,Virginia Commonwealth,,,Manhattan,,W,,73,56,17,,,False
98,2022-23,2022-11-07,,Washington State,,,Texas State,,W,,83,61,22,,,False
99,2022-23,2022-11-07,,West Virginia,,,Mount St. Mary's,,W,,76,58,18,,,False
100,2022-23,2022-11-07,,William & Mary,,,Navy,,L,,59,74,-15,,,False
101,2022-23,2022-11-07,,Wofford,,,Bob Jones University,,W,,120,48,72,,,False
102,2022-23,2022-11-07,,Xavier,,,Morgan State,,W,,96,73,23,,,False
103,2022-23,2022-11-07,,Yale,,,Sarah Lawrence,,W,,96,41,55,,,False
0,2022-23,2022-11-07,,Abilene Christian,,,Jackson State,,W,,65,56,9,,,False
1,2022-23,2022-11-07,,Alabama,20,,Longwood,,W,,75,54,21,,,False
