,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,neutral
0,2022-23,2022-11-11,,Yale,,,Eastern Washington,,W,,74,60,14,,,True
1,2022-23,2022-11-11,,Wisconsin,,,Stanford,,W,,60,50,10,,,True
2,2022-23,2022-11-11,,Toledo,,,UAB,,W,,93,85,8,,,True
3,2022-23,2022-11-11,,UC Santa Barbara,,,Fresno State,,W,,61,54,7,,,True
4,2022-23,2022-11-11,,Toledo,,,UAB,,W,,93,85,8,,,True
5,2022-23,2022-11-11,,Gonzaga,2,,Michigan State,,W,,64,63,1,,,True
6,2022-23,2022-11-11,,Louisiana,,,Harvard,,W,,75,61,14,,,True
7,2022-23,2022-11-11,,Houston,3,,Saint Joseph's,,W,,81,55,26,,,True
8,2022-23,2022-11-11,,Mississippi State,,,Akron,,W,,73,54,19,,,True
9,2022-23,2022-11-11,,East Tennessee State,,,Elon,,W,,77,64,13,,,True
10,2022-23,2022-11-11,,Michigan,22,,Eastern Michigan,,W,,88,83,5,,,True
11,2022-23,2022-11-12,,Boise State,,,Washington State,,W,,71,61,10,,,True
12,2022-23,2022-11-13,,Yale,,,Mississippi Valley State,,W,,80,51,29,,,True
13,2022-23,2022-11-13,,Harvard,,,Elon,,W,,92,77,15,,,True
14,2022-23,2022-11-13,,Colorado,,,Tennessee,11,W,,78,66,12,,,True
15,2022-23,2022-11-13,,Louisiana,,,East Tennessee State,,W,,81,77,4,,,True
16,2022-23,2022-11-14,,Eastern Washington,,,Mississippi Valley State,,W,,60,52,8,,,True
17,2022-23,2022-11-15,,Michigan State,,,Kentucky,4,W,,86,77,9,,2,True
18,2022-23,2022-11-15,,South Dakota State,,,St. Bonaventure,,W,,66,62,4,,,True
19,2022-23,2022-11-15,,Kansas,6,,Duke,7,W,,69,64,5,,,True
21,2022-23,2022-11-16,,Michigan,20,,Pittsburgh,,W,,91,60,31,,,True
22,2022-23,2022-11-16,,Arizona State,,,Virginia Commonwealth,,W,,63,59,4,,,True
23,2022-23,2022-11-17,,Penn State,,,Furman,,W,,73,68,5,,,True
24,2022-23,2022-11-17,,Massachusetts,,,Colorado,,W,,66,63,3,,,True
25,2022-23,2022-11-17,,Virginia Tech,,,Old Dominion,,W,,75,71,4,,,True
26,2022-23,2022-11-17,,Murray State,,,Texas A&M,24,W,,88,79,9,,,True
27,2022-23,2022-11-17,,Troy,,,Merrimack,,W,,73,54,19,,,True
28,2022-23,2022-11-17,,Colorado State,,,South Carolina,,W,,85,53,32,,,True
29,2022-23,2022-11-17,,Charlotte,,,Boise State,,W,,54,42,12,,,True
30,2022-23,2022-11-17,,Virginia Commonwealth,,,Pittsburgh,,W,,71,67,4,,,True
31,2022-23,2022-11-17,,Arizona State,,,Michigan,20,W,,87,62,25,,,True
32,2022-23,2022-11-17,,Tulsa,,,Loyola (IL),,W,,85,66,19,,,True
33,2022-23,2022-11-18,,Southern Illinois-Edwardsville,,,Fairleigh Dickinson,,W,,79,78,1,,,True
34,2022-23,2022-11-18,,Stetson,,,Rider,,W,,78,68,10,,,True
35,2022-23,2022-11-18,,Niagara,,,Central Arkansas,,W,,73,64,9,,,True
36,2022-23,2022-11-18,,Queens (NC),,,Green Bay,,W,,81,65,16,,,True
37,2022-23,2022-11-18,,Colorado,,,Texas A&M,24,W,,103,75,28,,,True
38,2022-23,2022-11-18,,Virginia Tech,,,Penn State,,W,,61,59,2,,,True
39,2022-23,2022-11-18,,Drake,,,Buffalo,,W,,80,72,8,,,True
40,2022-23,2022-11-18,,Wake Forest,,,La Salle,,W,,75,63,12,,,True
42,2022-23,2022-11-18,,Massachusetts,,,Murray State,,W,,71,69,2,,,True
43,2022-23,2022-11-18,,Old Dominion,,,Furman,,W,,82,77,5,,,True
44,2022-23,2022-11-18,,Wyoming,,,Howard,,W,,78,71,7,,,True
45,2022-23,2022-11-18,,Loyola Marymount,,,Georgetown,,W,,84,66,18,,,True
46,2022-23,2022-11-18,,Kennesaw State,,,Southeastern Louisiana,,W,,72,68,4,,,True
47,2022-23,2022-11-18,,Lamar,,,Lindenwood,,W,,73,71,2,,,True
48,2022-23,2022-11-18,,Tarleton State,,,Belmont,,W,,89,81,8,,,True
49,2022-23,2022-11-18,,Temple,,,Rutgers,,W,,72,66,6,,,True
50,2022-23,2022-11-18,,Duquesne,,,Colgate,,W,,85,80,5,,,True
51,2022-23,2022-11-18,,Virginia,16,,Baylor,5,W,,86,79,7,,,True
52,2022-23,2022-11-18,,Davidson,,,South Carolina,,W,,69,60,9,,,True
53,2022-23,2022-11-18,,Iona,,,Vermont,,W,,71,50,21,,,True
54,2022-23,2022-11-18,,Morgan State,,,Utah Valley,,W,,73,72,1,,1,True
55,2022-23,2022-11-18,,Central Florida,,,Oklahoma State,,W,,60,56,4,,1,True
56,2022-23,2022-11-18,,St. Thomas,,,Troy,,W,,78,76,2,,,True
57,2022-23,2022-11-18,,Charlotte,,,Tulsa,,W,,68,65,3,,,True
58,2022-23,2022-11-18,,Boston College,,,George Mason,,W,,71,56,15,,,True
59,2022-23,2022-11-18,,UNC Asheville,,,Texas A&M-Commerce,,W,,72,64,8,,,True
60,2022-23,2022-11-18,,UNC Asheville,,,Texas A&M-Commerce,,W,,72,64,8,,,True
61,2022-23,2022-11-18,,Santa Clara,,,DePaul,,W,,69,61,8,,,True
63,2022-23,2022-11-18,,Illinois,19,,UCLA,8,W,,79,70,9,,,True
64,2022-23,2022-11-18,,Boise State,,,Loyola (IL),,W,,70,48,22,,,True
65,2022-23,2022-11-19,,Lafayette,,,Central Connecticut State,,W,,55,50,5,,,True
66,2022-23,2022-11-19,,Gardner-Webb,,,North Carolina A&T,,W,,66,64,2,,,True
67,2022-23,2022-11-19,,Central Arkansas,,,Rider,,W,,90,85,5,,,True
68,2022-23,2022-11-19,,Niagara,,,Stetson,,W,,66,62,4,,,True
69,2022-23,2022-11-19,,Maryland,,,Saint Louis,,W,,95,67,28,,,True
70,2022-23,2022-11-19,,Howard,,,Buffalo,,W,,63,59,4,,,True
71,2022-23,2022-11-19,,Western Carolina,,,Lamar,,W,,98,91,7,,1,True
72,2022-23,2022-11-19,,Southeastern Louisiana,,,Campbell,,W,,70,69,1,,,True
73,2022-23,2022-11-19,,Miami (FL),,,Providence,,W,,74,64,10,,,True
74,2022-23,2022-11-19,,Eastern Kentucky,,,UNC Asheville,,W,,77,75,2,,,True
75,2022-23,2022-11-19,,Belmont,,,George Mason,,W,,66,62,4,,,True
76,2022-23,2022-11-19,,Hawaii,,,Hawaii Pacific,,W,,79,55,24,,,True
77,2022-23,2022-11-19,,Youngstown State,,,UC San Diego,,W,,73,54,19,,,True
78,2022-23,2022-11-19,,Stonehill,,,Holy Cross,,W,,81,79,2,,,True
79,2022-23,2022-11-19,,St. Thomas,,,Merrimack,,W,,72,61,11,,,True
80,2022-23,2022-11-19,,Southern Illinois-Edwardsville,,,Virginia Military Institute,,W,,93,67,26,,,True
81,2022-23,2022-11-19,,Norfolk State,,,Alabama A&M,,W,,89,83,6,,,True
82,2022-23,2022-11-20,,Western Carolina,,,Lindenwood,,W,,90,88,2,,1,True
84,2022-23,2022-11-20,,Furman,,,South Carolina,,W,,79,60,19,,,True
85,2022-23,2022-11-20,,Murray State,,,Tulsa,,W,,77,60,17,,,True
86,2022-23,2022-11-20,,Campbell,,,Kennesaw State,,W,,85,61,24,,,True
87,2022-23,2022-11-20,,Georgetown,,,La Salle,,W,,69,62,7,,,True
88,2022-23,2022-11-20,,Massachusetts,,,Charlotte,,W,,60,54,6,,,True
89,2022-23,2022-11-20,,Davidson,,,Old Dominion,,W,,66,61,5,,,True
90,2022-23,2022-11-20,,Georgia Southern,,,Western Michigan,,W,,63,57,6,,,True
91,2022-23,2022-11-20,,Maryland,,,Miami (FL),,W,,88,70,18,,,True
92,2022-23,2022-11-20,,Radford,,,Army,,W,,90,75,15,,,True
